FACEBOOK,,,THE MARKUP,,,THE MARKUP,,,
Rank,Domain,Content Viewers,Rank,Domain,Unique users,Rank,Domain,Impressions,Rank change
1,youtube.com,181.3M,1,youtube.com,1605,1,youtube.com,64290,0
2,amazon.com,134.6M,2,instagram.com,1411,2,nytimes.com,24281,3
3,unicef.org,134.4M,3,amazon.com,1045,3,npr.org,20671,8
4,gofundme.com,124.8M,4,twitter.com,982,4,instagram.com,18527,–2
5,twitter.com,116.1M,5,nytimes.com,936,5,washingtonpost.com,15919,1
6,media1.tenor.co,115.6M,6,washingtonpost.com,893,6,amazon.com,11907,–3
7,m.tiktok.com,110.7M,7,unicef.org,863,7,cnn.com,10268,2
8,open.spotify.com,93.0M,8,nbcnews.com,855,8,dailywire.com,9880,72
9,playeralumniresources.com,89.9M,9,cnn.com,845,9,nbcnews.com,7821,–1
10,abcnews.go.com,88.1M,10,media1.tenor.co,820,10,foxnews.com,6741,29
11,linktr.ee,87.9M,11,npr.org,815,11,news.yahoo.com,6680,31
12,dailymail.co.uk,86.5M,12,gofundme.com,763,12,msnbc.com,6493,34
13,docs.google.com,85.8M,13,bbc.com,677,13,dailymail.co.uk,5885,6
14,etsy.com,85.5M,14,theguardian.com,673,14,buzzfeed.com,5273,47
15,nbcnews.com,83.1M,15,usatoday.com,663,15,twitter.com,5248,–11
16,cnn.com,82.8M,16,cnbc.com,656,16,huffpost.com,5116,10
17,google.com,78.6M,17,cbsnews.com,647,17,westernjournal.com,4945,169
18,eventbrite.com,78.4M,18,open.spotify.com,643,18,thehill.com,4761,11
19,cbsnews.com,77.1M,19,dailymail.co.uk,639,19,bbc.com,4354,–6
20,vimeo.com,76.9M,20,forbes.com,625,20,abcnews.go.com,4209,3